epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,925.418,0.80989,0.77049,1.24639,0.8543,0.78077,0.85564,0.58316,1.09861,0.8541,1.45887,0.000660299,0.000660299,0.000660299
63,940.257,0.83817,0.77532,1.26632,0.8197,0.79481,0.84265,0.55642,1.09377,0.87496,1.431,0.000643795,0.000643795,0.000643795
64,955.026,0.82726,0.77125,1.25822,0.86102,0.79088,0.85832,0.57674,1.09708,0.84504,1.44254,0.000627292,0.000627292,0.000627292
65,969.826,0.81604,0.75816,1.24601,0.83433,0.78835,0.85421,0.58129,1.06382,0.86789,1.39786,0.000610789,0.000610789,0.000610789
66,984.764,0.81232,0.75488,1.24195,0.82389,0.78361,0.84603,0.57571,1.09715,0.88587,1.42195,0.000594286,0.000594286,0.000594286
67,999.561,0.81855,0.76275,1.24324,0.85606,0.76455,0.86289,0.59451,1.08667,0.84265,1.43265,0.000577782,0.000577782,0.000577782
68,1014.41,0.79174,0.73067,1.22435,0.86443,0.80103,0.87023,0.59277,1.09531,0.83003,1.44595,0.000561279,0.000561279,0.000561279
69,1029.19,0.81164,0.74231,1.23799,0.86709,0.78325,0.8645,0.58723,1.0894,0.82718,1.43722,0.000544776,0.000544776,0.000544776
70,1043.97,0.79723,0.72138,1.23849,0.85316,0.81774,0.8779,0.58817,1.10381,0.80569,1.44594,0.000528272,0.000528272,0.000528272
71,1058.77,0.7947,0.73237,1.23378,0.87656,0.78323,0.87647,0.61168,1.0357,0.8203,1.39192,0.000511769,0.000511769,0.000511769
72,1073.74,0.77973,0.71802,1.21188,0.87536,0.78638,0.86262,0.59686,1.06708,0.80167,1.42302,0.000495266,0.000495266,0.000495266
73,1088.55,0.7772,0.71836,1.21695,0.84471,0.78359,0.86828,0.59335,1.07055,0.83041,1.40472,0.000478762,0.000478762,0.000478762
