epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1387.8,0.7456,0.67241,1.19133,0.86458,0.81226,0.88614,0.61937,1.02509,0.73439,1.37007,0.00026422,0.00026422,0.00026422
87,1403.76,0.74353,0.66753,1.19343,0.87176,0.811,0.8876,0.62,1.03577,0.73043,1.37183,0.000247716,0.000247716,0.000247716
88,1419.78,0.75104,0.67538,1.19493,0.86162,0.80007,0.87701,0.61338,1.0276,0.7417,1.36462,0.000231213,0.000231213,0.000231213
89,1435.89,0.7411,0.66288,1.19339,0.88113,0.81344,0.88783,0.61967,1.01123,0.72827,1.3536,0.00021471,0.00021471,0.00021471
90,1451.79,0.74265,0.65648,1.18877,0.87634,0.80889,0.88577,0.62,1.01939,0.73371,1.34912,0.000198206,0.000198206,0.000198206
91,1470.05,0.72689,0.60066,1.21091,0.85575,0.81118,0.87755,0.60666,1.05548,0.74848,1.39899,0.000181703,0.000181703,0.000181703
92,1486.18,0.68894,0.53172,1.17751,0.87641,0.80892,0.88302,0.61827,1.0322,0.72284,1.3778,0.0001652,0.0001652,0.0001652
93,1501.96,0.69416,0.5284,1.19027,0.87511,0.80461,0.87918,0.61978,1.0188,0.72375,1.36188,0.000148696,0.000148696,0.000148696
94,1517.88,0.67484,0.51409,1.17217,0.87485,0.80586,0.87758,0.61039,1.0276,0.7301,1.38241,0.000132193,0.000132193,0.000132193
95,1533.66,0.67563,0.51609,1.1772,0.87906,0.81915,0.88077,0.62146,1.00728,0.71835,1.35081,0.00011569,0.00011569,0.00011569
96,1549.63,0.65888,0.4967,1.16019,0.86767,0.81457,0.8809,0.61976,1.01314,0.727,1.3537,9.91865e-05,9.91865e-05,9.91865e-05
97,1565.58,0.65419,0.48086,1.15284,0.85499,0.80758,0.86959,0.61567,1.00997,0.72075,1.36084,8.26832e-05,8.26832e-05,8.26832e-05
98,1581.41,0.65552,0.49212,1.15505,0.87633,0.79432,0.8771,0.62054,1.00385,0.72459,1.35315,6.61799e-05,6.61799e-05,6.61799e-05
99,1597.16,0.64608,0.48361,1.15281,0.88366,0.79665,0.88407,0.62589,1.00468,0.71845,1.35088,4.96766e-05,4.96766e-05,4.96766e-05
100,1612.95,0.65334,0.48409,1.15813,0.89202,0.79379,0.88191,0.62292,1.00439,0.71771,1.34949,3.31733e-05,3.31733e-05,3.31733e-05
